"Author","year","doi","title","journal","url","keywords","open data (yes, no)","open code (yes, no)","open material (yes, no)","preregistration yes/no","longitudinal design (LD), cross-sectional design (CD), unclear","n_with_exclusions","n_female_total","age_mean_total","age_sd_total","mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...24","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...26","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...28","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...30","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)","HR (BPM)","HRV","EMG orbicularis oculi","EMG startle","SCR","SCL","EYE tracking","PUPIL SIZE","specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)","is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no","which rationale? (e.g. guideline/ ref/ not reported)","was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)","reviewer_ID","comment","...54","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53"
"Lim, Seung-Lark and Padmala, Srikanth and Pessoa, Luiz","2008","10.1016/j.neuropsychologia.2007.12.003","Affective learning modulates spatial competition during low-load attentional conditions","Neuropsychologia","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-06202-009&site=ehost-live","Attention;Female;Humans;Galvanic Skin Response;Male;Sex Characteristics;Adolescent;Fear;Adult;Amygdala;Learning;Magnetic Resonance Imaging;Image Processing, Computer-Assisted;Reaction Time;Photic Stimulation;Affect;Memory;Facial Expression;Electroshock;Conditioning (Psychology);Visual Perception;Reinforcement (Psychology);Space Perception;Psychomotor Performance;affective learning;Reading;Competition;low-load attentional conditions;Spatial Ability;spatial competition;task-irrelevant faces;visual processing","no","no","no","no","CD","13",NA,NA,NA,"yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,"not reported","within","2","rmANOVA ","rmANOVA","9","SCR measures during gender-decision trials to a 2 (phase: conditioning, letter-detection) × 2 (type: safe, threat) × 2 (expression: neutral, fearful) repeated-measures ANOVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leer A and Engelhard IM and Altink A and van den Hout MA","2013","10.1016/j.brat.2013.07.004","Eye movements during recall of aversive memory decreases conditioned fear.","Behaviour research and therapy","https://pubmed.ncbi.nlm.nih.gov/23916632/","Female;Humans;Adolescent;Adult;Memory;Eye Movements;Conditioning, Classical/*physiology;Galvanic Skin Response/physiology;Fear/*physiology/*psychology;Mental Recall/*physiology;Eye Movements/*physiology","no","no","no","no","CD","63","63","22.83","3.35","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","trials","above 2.5 SD were replaced by M 2.5 SD",NA,NA,NA,NA,"sqrt",NA,NA,NA,"SCR range corrected (SCR/SCRmax; Lykken & Venables, 1971) and transformed by square root to normalize the data (Dawson, Schell, & Filion, 2000).","yes, to normalize the data","references","not reported","mixed","2","ANOVA","ANOVA_univariat","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ma Q and Huang Y and Wang L","2013","10.1155/2013/652542","Left prefrontal activity reflects the ability of vicarious fear learning: a functional near-infrared spectroscopy study.","TheScientificWorldJournal","https://pubmed.ncbi.nlm.nih.gov/24307877/","Female;Humans;Male;Adult;Young Adult;Fear/*physiology;Avoidance Learning/*physiology;Nerve Net/physiology;Prefrontal Cortex/*physiology;Visual Perception/*physiology;Brain Mapping/*methods;Oxygen Consumption/*physiology;Spectroscopy, Near-Infrared/*methods","no","no","no","no","CD","31","15","22.4",NA,"yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,"SCR converted to logarithmic values by adding 1 and then multiplying by 1000 ","no","reference","not reported","within","1","paired sample t-test","ttest","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kull, Sandra and Müller, Birgit H. and Blechert, Jens and Wilhelm, Frank H. and Michael, Tanja","2012","10.1016/j.actpsy.2012.02.007","Reinstatement of fear in humans: Autonomic and experiential responses in a differential conditioning paradigm","Acta Psychologica","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-12905-007&site=ehost-live","Female;Humans;Autonomic Nervous System;Galvanic Skin Response;Male;Extinction, Psychological;Fear;Adult;Conditioning, Classical;extinction;Photic Stimulation;fear conditioning;fear generalization;skin conductance;Conditioned Fear;Extinction (Learning);Reinstatement;Electric Stimulation;humans;Generalization (Psychology);fear reinstatement;autonomic responses;Humanism;Humanities;experiential responses;differential conditioning paradigm","no","no","no","no","CD","55","42","25.2","6.7","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","trials","manual visual inspection",NA,NA,NA,NA,"sqrt",NA,NA,NA,"SCRs below 0.025 μS were scored as zero and square root transformation was applied to normalise the distribution of SCRs.","yes","to normalize ","not reported","mixed","2","ANOVA","ANOVA_univariat","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malloy, Paul F. and Levis, Donald J.","1988","10.1016/S0005-7894(88)80045-5","A laboratory demonstration of persistent human avoidance","Behavior Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1988-31681-001&site=ehost-live","Humans;Fear;Extinction (Learning);Avoidance Conditioning;college students;Humanism;Humanities;avoidance responding in extinction following fear conditioning procedure;serial vs nonserial CS condition;treatment implications","no","no","no","no","CD","80","40",NA,NA,"not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,"not reported","between","2","ANOVA","ANOVA_univariat","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonsdorf TB and Haaker J and Fadai T and Kalisch R","2014","10.1007/s00213-013-3338-8","No evidence for enhanced extinction memory consolidation through noradrenergic reuptake inhibition-delayed memory test and reinstatement in human fMRI.","Psychopharmacology","https://pubmed.ncbi.nlm.nih.gov/24193372/","Humans;Male;Adult;Brain Mapping;Magnetic Resonance Imaging;Neuropsychological Tests;Memory;Electroshock;Task Performance and Analysis;Humanism;Humanities;Memory/drug effects/*physiology;Galvanic Skin Response/drug effects;Brain/drug effects/*physiology;Extinction, Psychological/drug effects/*physiology;Conditioning, Psychological/drug effects/physiology;Fear/drug effects/physiology;Adrenergic Uptake Inhibitors/*pharmacology;Morpholines/*pharmacology;Reboxetine;Selenium Compounds;Visual Perception/drug effects/physiology","no","no","no","no","LD","42","0","28.6","0.9","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,"SCR, logarithms were computed for all values, to normalise the distribution (Venables and Christie 1980), and these log values were range-corrected (SCR/SCRmax CR[day]) to account for interindividual variability (Lykken and Venables 1971). S","yes, to normalize the distribution and to account forindividual differences","","trial-level","mixed","3","mixed-model ANOVA","ANOVA_univariat","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lipp OV and Kempnich C and Jee SH and Arnold DH","2014","10.1371/journal.pone.0099332","Fear conditioning to subliminal fear relevant and non fear relevant stimuli.","PloS one","https://pubmed.ncbi.nlm.nih.gov/25198514/","Female;Humans;Male;Extinction, Psychological;Animals;Adult;Young Adult;Snakes;Fear/*physiology;Anger;Spiders;*Habituation, Psychophysiologic;Galvanic Skin Response/*physiology;*Subliminal Stimulation;Conditioning, Psychological/*physiology;*Perceptual Masking","no","no","no","no","CD","32","21","20.52","2.44","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,"not reported","mixed","2","mixed-model ANOVA with repeated measures","rmANOVA","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee TH and Sakaki M and Cheng R and Velasco R and Mather M","2014","10.1093/scan/nsu015","Emotional arousal amplifies the effects of biased competition in the brain.","Social cognitive and affective neuroscience","https://pubmed.ncbi.nlm.nih.gov/24532703/","Emotions;Female;Humans;Male;Adolescent;Adult;Young Adult;Brain;Magnetic Resonance Imaging;Conditioning, Classical;Image Processing, Computer-Assisted;Reaction Time;Photic Stimulation;Acoustic Stimulation;Arousal;Fear/*physiology;Galvanic Skin Response/physiology;Linear Models;Bias (Epidemiology);Arousal/*physiology;*Bias;Oxygen/blood;Brain/blood supply/*physiology;Competitive Behavior/*physiology","no","no","no","no","CD","52","38","20.5",NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","not reported","robust correlation toolbox from Pernet et al 2012",NA,NA,NA,NA,"not reported",NA,NA,NA,"SCR, baseline-corrected between 0 and 1 s. The peak SCR amplitude was taken between 1 – 8 s from the trial-by-trial average SCR epoch as a function of CS","no",NA,"not reported","within","2","t-test","ttest","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MacNamara A and Rabinak CA and Fitzgerald DA and Zhou XJ and Shankman SA and Milad MR and Phan KL","2015","10.1016/j.bbr.2015.03.035","Neural correlates of individual differences in fear learning.","Behavioural brain research","https://pubmed.ncbi.nlm.nih.gov/25819422/","Female;Humans;Galvanic Skin Response;Male;Adult;Young Adult;Brain Mapping;Magnetic Resonance Imaging;Conditioning, Classical/*physiology;Fear/*physiology;Brain/physiology;*Individuality;Amygdala/*physiology;Cerebral Cortex/*physiology","no","no","no","no","CD","49","28","25.3","4.8","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported","Na","not reported","Na","not reported","Na","not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"raw SCRs were square root transformed to normalize distributions","yes","reference","not reported","within","2","pared t-test","ttest","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luck CC and Lipp OV","2015","10.1016/j.brat.2015.01.001","A potential pathway to the relapse of fear? Conditioned negative stimulus evaluation (but not physiological responding) resists instructed extinction.","Behaviour research and therapy","https://pubmed.ncbi.nlm.nih.gov/25658973/","Female;Humans;Male;Adolescent;Adult;Young Adult;Middle Aged;Fear/*physiology;Galvanic Skin Response/physiology;Recurrence;Extinction, Psychological/*physiology;Reflex, Startle/physiology;Conditioning, Psychological/*physiology","no","no","no","no","CD","36","21","21.71",NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"Electrodermal responses were square root transformed to reduce the positive skew of the distribution (Dawson et al., 2007) and then range corrected to ensure that each participant was given an even weight in the analyses, reducing the influence of outliers (Boucsein et al., 2012; Dawson et al., 2007).","yes","to reduce the positive skew + reference","not reported","within","2","ANOVA","ANOVA_univariat","9","This study includes 3 Experiments. I extracted data from only Experiment1, as only this experiment includes SCR measures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonsdorf TB and Golkar A and Lindström KM and Haaker J and Öhman A and Schalling M and Ingvar M","2015","10.1093/scan/nsu102","BDNFval66met affects neural activation pattern during fear conditioning and 24 h delayed fear recall.","Social cognitive and affective neuroscience","https://pubmed.ncbi.nlm.nih.gov/25103087/","Female;Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Photic Stimulation;Fear/*physiology;Galvanic Skin Response/physiology;Polymorphism, Single Nucleotide;Extinction, Psychological/physiology;Conditioning, Psychological/*physiology;Oxygen/blood;Mental Recall/*physiology;Anxiety/genetics/psychology;Brain-Derived Neurotrophic Factor/*genetics/*physiology;Mutation/*genetics/*physiology","no","no","no","no","CD","59","32","24","0.4","unclear","both","Genotype","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported","Na","yes","subjects","not reported",NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,"not reported","within","2","mixed model","other","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kunze AE and Arntz A and Kindt M","2015","10.1016/j.jbtep.2014.11.007","Fear conditioning with film clips: a complex associative learning paradigm.","Journal of behavior therapy and experimental psychiatry","https://pubmed.ncbi.nlm.nih.gov/25481400/","Female;Humans;Male;Adolescent;Adult;Young Adult;Association Learning;Reinforcement, Psychology;Visual Perception;Reflex, Startle/physiology;Fear/physiology/*psychology;*Memory/physiology;Photic Stimulation/methods;*Conditioning, Classical/physiology;Surgical Instruments;*Association Learning/physiology","no","no","no","no","CD","40","32","21","1.91","yes","both","STAI, PANAS, SAM, IES","not reported",NA,NA,"not reported",NA,"yes","not reported","not reported",NA,"not reported",NA,"not reported",NA,"yes","trials","> 3 SD from mean",NA,NA,NA,"z",NA,NA,NA,NA,"The data were subsequently individually standardized into z-scores to normalize the distribution and reduce between-subjects variability (Sevenster, Beckers, & Kindt, 2012).","yes","to normalize the distribution and reduce between-subjects variability (Sevenster, Beckers, & Kindt, 2012).","other","within","2","ANOVA","rmANOVA","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Krypotos AM and Arnaudova I and Effting M and Kindt M and Beckers T","2015","10.1371/journal.pone.0131581","Effects of Approach-Avoidance Training on the Extinction and Return of Fear Responses.","PloS one","https://pubmed.ncbi.nlm.nih.gov/26200111/","Female;Humans;Male;Fear;Adult;*Avoidance Learning;*Fear;Implosive Therapy/*methods;*Anxiety Disorders/physiopathology/psychology/therapy;*Stress, Psychological/physiopathology/psychology/therapy","yes","no","no","no","CD","40","21","22.25",NA,"not reported","both","ASI, STAI, US pleasentness, US intensity, US startlingness","not reported",NA,NA,"not reported",NA,"yes","not reported","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"not reported","sqrt",NA,NA,NA,"The raw absolute SCR scores were square root transformed; in case of a negative raw value the negative sign was then re-applied [20].","no",NA,"not reported","mixed","2","mixed-measure ANOVA","ANOVA_univariat","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luck CC and Lipp OV","2015","10.1111/psyp.12452","To remove or not to remove? Removal of the unconditional stimulus electrode does not mediate instructed extinction effects.","Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/26032171/","Female;Humans;Male;Adolescent;Adult;Young Adult;Middle Aged;Photic Stimulation;Electrodes;Electric Stimulation;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Arousal/physiology;Galvanic Skin Response/*physiology;Attention/physiology","no","no","no","no","CD","78","47","22.28",NA,"not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","subjects","Tukey’s outlier identification method (Hoaglin & Iglewicz, 1987; Hoaglin, Iglewicz, & Tukey, 1986)",NA,NA,NA,NA,"sqrt",NA,NA,NA,"The phasic electrodermal responses were square root transformed to reduce the positive skew of the distribution (Dawson et al., 2007), and then range corrected to ensure that each participant was given an even weight in the analyses, reducing the influence of outliers (Boucsein et al., 2012; Dawson et al., 2007).","yes","to reduce positive skew","not reported","mixed","2","Anova","ANOVA_univariat","9","was also range-corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonsdorf TB and Haaker J and Schümann D and Sommer T and Bayer J and Brassen S and Bunzeck N and Gamer M and Kalisch R","2015","10.1503/140336","Sex differences in conditioned stimulus discrimination during context-dependent fear learning and its retrieval in humans: the role of biological sex, contraceptives and menstrual cycle phases.","Journal of psychiatry & neuroscience : JPN","https://pubmed.ncbi.nlm.nih.gov/26107163/","Female;Humans;Male;Sex Characteristics;Adolescent;Adult;Young Adult;Menstrual Cycle;Discrimination (Psychology);Humanism;Humanities;*Sex Characteristics;Fear/drug effects/*physiology/*psychology;Extinction, Psychological/drug effects/physiology;Conditioning, Classical/drug effects/*physiology;Galvanic Skin Response/drug effects/physiology;Anticipation, Psychological/drug effects/physiology;Association Learning/drug effects/physiology;Contraceptive Agents, Female/therapeutic use;Discrimination, Psychological/drug effects/physiology;Menstrual Cycle/drug effects/*physiology/*psychology","no","no","no","no","CD","377","261",NA,NA,"yes","both","Fear and US Expectancy, STAI","not reported",NA,NA,"not reported",NA,"yes","Mauchly test ","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,"Raw SCR amplitudes were logarithmized (+1) and range-corrected","No",NA,"not reported","mixed","2","ANOVA","ANOVA_univariat","9","was also range-corrected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lipp OV and Cronin SL and Alhadad SS and Luck CC","2015","10.1111/psyp.12513","Enhanced sensitization to animal, interpersonal, and intergroup fear-relevant stimuli (but no evidence for selective one-trial fear learning).","Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/26283264/","Female;Humans;Male;Adolescent;Fear;Animals;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Electroshock;Galvanic Skin Response/physiology;Learning/*physiology;Extinction, Psychological/physiology;Animal Shells","no","no","no","no","CD","25","17","22.88",NA,"not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"skin conductance responses were square root transformed to reduce the impact of skew and range corrected to reduce the effects of individual differences. The range correction was obtained by dividing each response by the maximum response produced by a participant, typically that to the first or the second unconditional stimulus presentation during acquisition.","Yes ","to reduce the impact of skew","not reported","within","4","ANOVA","rmANOVA","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithari C and Moratti S and Weisz N","2015","10.1002/hbm.22940","Thalamocortical interactions underlying visual fear conditioning in humans.","Human brain mapping","https://pubmed.ncbi.nlm.nih.gov/26287369/","Female;Humans;Male;Adult;Facial Expression;Electric Stimulation;Fear/*physiology;Humanism;Humanities;Amygdala/*physiology;Conditioning, Psychological/physiology;Cerebral Cortex/*physiology;Magnetoencephalography/*methods;Facial Recognition/*physiology;Thalamus/*physiology","no","no","no","no","CD","20","10","28.05","3.3","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"z",NA,NA,NA,NA,"The absolute values were then expressed in z-scores to account for individual variability [Keil et al., 2007; Stolarova et al., 2006].","Yes","to account for individual variability [Keil et al., 2007; Stolarova et al., 2006].","not reported","within","3","ANOVA","rmANOVA","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lindner K and Neubert J and Pfannmöller J and Lotze M and Hamm AO and Wendt J","2015","10.1016/j.ijpsycho.2015.02.025","Fear-potentiated startle processing in humans: Parallel fMRI and orbicularis EMG assessment during cue conditioning and extinction.","International journal of psychophysiology : official journal of the International           Organization of Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/25725377/","Female;Humans;Male;Adolescent;Adult;Young Adult;Magnetic Resonance Imaging;Cues;Analysis of Variance;Image Processing, Computer-Assisted;Electromyography;Fear/*physiology;Self Report;Extinction, Psychological/*physiology;Humanism;Humanities;Conditioning, Classical/physiology;*Cues;Galvanic Skin Response/*physiology;Reflex, Startle/*physiology;Oxygen/blood;Brain/*blood supply/physiology","no","no","no","no","CD","15","15","22.53","2.7","yes","both","SAM","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"t",NA,NA,NA,NA,"To ensure that each participant contributed equally to the group's mean, startle blink magnitudes were T-transformed [50 + (z × 10)] by means of the ITI-startle responses for each block separately, as recommended by Blumenthal et al. (2005).","Yes","to ensure that each participant contributed equally to the group's mean","other","within","3","ANOVA","rmANOVA","9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
